T14,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
2,Africa,2020,GDP in current prices (millions of US dollars),2414594.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,1995,GDP per capita (US dollars),821.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2005,GDP per capita (US dollars),1239.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2010,GDP per capita (US dollars),1907.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2015,GDP per capita (US dollars),1997.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2018,GDP per capita (US dollars),1905.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2019,GDP per capita (US dollars),1930.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2020,GDP per capita (US dollars),1804.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,1995,GDP in constant 2010 prices (millions of US dollars),963827.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2005,GDP in constant 2010 prices (millions of US dollars),1502529.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2010,GDP in constant 2010 prices (millions of US dollars),1953445.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2015,GDP in constant 2010 prices (millions of US dollars),2358404.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2018,GDP in constant 2010 prices (millions of US dollars),2567022.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2019,GDP in constant 2010 prices (millions of US dollars),2623699.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2020,GDP in constant 2010 prices (millions of US dollars),2553525.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,1995,GDP real rates of growth (percent),2.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2005,GDP real rates of growth (percent),6.20,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2010,GDP real rates of growth (percent),5.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2015,GDP real rates of growth (percent),3.40,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2018,GDP real rates of growth (percent),3.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2019,GDP real rates of growth (percent),2.20,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2020,GDP real rates of growth (percent),-2.70,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,1995,GDP in current prices (millions of US dollars),207392.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2005,GDP in current prices (millions of US dollars),376507.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2010,GDP in current prices (millions of US dollars),643263.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2015,GDP in current prices (millions of US dollars),760531.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
