T14,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
28,Antigua and Barbuda,2005,GDP per capita (US dollars),12459.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2010,GDP per capita (US dollars),13049.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2015,GDP per capita (US dollars),14286.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2018,GDP per capita (US dollars),16679.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2019,GDP per capita (US dollars),17376.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2020,GDP per capita (US dollars),13993.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,1995,GDP in constant 2010 prices (millions of US dollars),825.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2005,GDP in constant 2010 prices (millions of US dollars),1222.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2010,GDP in constant 2010 prices (millions of US dollars),1231.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2015,GDP in constant 2010 prices (millions of US dollars),1337.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2018,GDP in constant 2010 prices (millions of US dollars),1555.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2019,GDP in constant 2010 prices (millions of US dollars),1630.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2020,GDP in constant 2010 prices (millions of US dollars),1301.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,1995,GDP real rates of growth (percent),-4.40,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2005,GDP real rates of growth (percent),7.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2010,GDP real rates of growth (percent),-7.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2015,GDP real rates of growth (percent),3.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2018,GDP real rates of growth (percent),6.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2019,GDP real rates of growth (percent),4.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
28,Antigua and Barbuda,2020,GDP real rates of growth (percent),-20.20,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,1995,GDP in current prices (millions of US dollars),279701.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2005,GDP in current prices (millions of US dollars),200622.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2010,GDP in current prices (millions of US dollars),426487.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2015,GDP in current prices (millions of US dollars),644903.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2018,GDP in current prices (millions of US dollars),517627.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2019,GDP in current prices (millions of US dollars),445445.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2020,GDP in current prices (millions of US dollars),383067.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,1995,GDP per capita (US dollars),8031.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2005,GDP per capita (US dollars),5158.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2010,GDP per capita (US dollars),10429.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2015,GDP per capita (US dollars),14971.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2018,GDP per capita (US dollars),11668.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2019,GDP per capita (US dollars),9947.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2020,GDP per capita (US dollars),8476.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,1995,GDP in constant 2010 prices (millions of US dollars),377768.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2005,GDP in constant 2010 prices (millions of US dollars),472004.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2010,GDP in constant 2010 prices (millions of US dollars),599349.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2015,GDP in constant 2010 prices (millions of US dollars),644903.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2018,GDP in constant 2010 prices (millions of US dollars),632629.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2019,GDP in constant 2010 prices (millions of US dollars),619420.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2020,GDP in constant 2010 prices (millions of US dollars),558065.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,1995,GDP real rates of growth (percent),-2.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2005,GDP real rates of growth (percent),8.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2010,GDP real rates of growth (percent),10.10,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2015,GDP real rates of growth (percent),2.70,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2018,GDP real rates of growth (percent),-2.60,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2019,GDP real rates of growth (percent),-2.10,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
32,Argentina,2020,GDP real rates of growth (percent),-9.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,1995,GDP in current prices (millions of US dollars),1372.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2005,GDP in current prices (millions of US dollars),5226.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2010,GDP in current prices (millions of US dollars),9875.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2015,GDP in current prices (millions of US dollars),10553.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2018,GDP in current prices (millions of US dollars),12458.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2019,GDP in current prices (millions of US dollars),13619.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2020,GDP in current prices (millions of US dollars),12641.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,1995,GDP per capita (US dollars),426.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2005,GDP per capita (US dollars),1753.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2010,GDP per capita (US dollars),3432.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2015,GDP per capita (US dollars),3607.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2018,GDP per capita (US dollars),4221.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2019,GDP per capita (US dollars),4605.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2020,GDP per capita (US dollars),4266.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,1995,GDP in constant 2010 prices (millions of US dollars),3036.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2005,GDP in constant 2010 prices (millions of US dollars),7048.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2010,GDP in constant 2010 prices (millions of US dollars),8517.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2015,GDP in constant 2010 prices (millions of US dollars),10553.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2018,GDP in constant 2010 prices (millions of US dollars),11959.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2019,GDP in constant 2010 prices (millions of US dollars),12871.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2020,GDP in constant 2010 prices (millions of US dollars),11919.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,1995,GDP real rates of growth (percent),6.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2005,GDP real rates of growth (percent),13.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2010,GDP real rates of growth (percent),2.20,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2015,GDP real rates of growth (percent),3.20,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2018,GDP real rates of growth (percent),5.20,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2019,GDP real rates of growth (percent),7.60,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
51,Armenia,2020,GDP real rates of growth (percent),-7.40,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,1995,GDP in current prices (millions of US dollars),1384.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2005,GDP in current prices (millions of US dollars),2360.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2010,GDP in current prices (millions of US dollars),2454.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2015,GDP in current prices (millions of US dollars),2963.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2018,GDP in current prices (millions of US dollars),3202.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2019,GDP in current prices (millions of US dollars),3310.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2020,GDP in current prices (millions of US dollars),2497.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,1995,GDP per capita (US dollars),17229.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2005,GDP per capita (US dollars),23593.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2010,GDP per capita (US dollars),24133.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2015,GDP per capita (US dollars),28396.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2018,GDP per capita (US dollars),30254.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2019,GDP per capita (US dollars),31136.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2020,GDP per capita (US dollars),23386.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,1995,GDP in constant 2010 prices (millions of US dollars),2182.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2005,GDP in constant 2010 prices (millions of US dollars),2897.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2010,GDP in constant 2010 prices (millions of US dollars),2619.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2015,GDP in constant 2010 prices (millions of US dollars),2963.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2018,GDP in constant 2010 prices (millions of US dollars),3065.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2019,GDP in constant 2010 prices (millions of US dollars),3044.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2020,GDP in constant 2010 prices (millions of US dollars),2364.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,1995,GDP real rates of growth (percent),2.50,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2005,GDP real rates of growth (percent),1.20,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2010,GDP real rates of growth (percent),-2.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2015,GDP real rates of growth (percent),6.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2018,GDP real rates of growth (percent),-0.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2019,GDP real rates of growth (percent),-0.70,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
533,Aruba,2020,GDP real rates of growth (percent),-22.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,1995,GDP in current prices (millions of US dollars),391094.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2005,GDP in current prices (millions of US dollars),760940.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2010,GDP in current prices (millions of US dollars),1299463.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2015,GDP in current prices (millions of US dollars),1247634.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2018,GDP in current prices (millions of US dollars),1458953.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2019,GDP in current prices (millions of US dollars),1380208.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2020,GDP in current prices (millions of US dollars),1423473.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,1995,GDP per capita (US dollars),21736.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2005,GDP per capita (US dollars),37710.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2010,GDP per capita (US dollars),58654.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2015,GDP per capita (US dollars),52131.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2018,GDP per capita (US dollars),58597.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2019,GDP per capita (US dollars),54763.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2020,GDP per capita (US dollars),55823.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,1995,GDP in constant 2010 prices (millions of US dollars),661848.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2005,GDP in constant 2010 prices (millions of US dollars),947086.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2010,GDP in constant 2010 prices (millions of US dollars),1086825.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2015,GDP in constant 2010 prices (millions of US dollars),1247634.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2018,GDP in constant 2010 prices (millions of US dollars),1342375.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2019,GDP in constant 2010 prices (millions of US dollars),1338551.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2020,GDP in constant 2010 prices (millions of US dollars),1357720.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,1995,GDP real rates of growth (percent),3.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2005,GDP real rates of growth (percent),2.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2010,GDP real rates of growth (percent),2.50,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2015,GDP real rates of growth (percent),2.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2018,GDP real rates of growth (percent),2.20,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2019,GDP real rates of growth (percent),-0.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
36,Australia,2020,GDP real rates of growth (percent),1.40,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,1995,GDP in current prices (millions of US dollars),241054.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2005,GDP in current prices (millions of US dollars),315967.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2010,GDP in current prices (millions of US dollars),391893.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2015,GDP in current prices (millions of US dollars),381818.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2018,GDP in current prices (millions of US dollars),455168.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2019,GDP in current prices (millions of US dollars),445012.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2020,GDP in current prices (millions of US dollars),433258.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,1995,GDP per capita (US dollars),30169.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2005,GDP per capita (US dollars),38282.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2010,GDP per capita (US dollars),46599.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2015,GDP per capita (US dollars),43995.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2018,GDP per capita (US dollars),51192.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2019,GDP per capita (US dollars),49694.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2020,GDP per capita (US dollars),48106.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,1995,GDP in constant 2010 prices (millions of US dollars),268468.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2005,GDP in constant 2010 prices (millions of US dollars),339519.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2010,GDP in constant 2010 prices (millions of US dollars),362278.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2015,GDP in constant 2010 prices (millions of US dollars),381818.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2018,GDP in constant 2010 prices (millions of US dollars),408170.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2019,GDP in constant 2010 prices (millions of US dollars),414257.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2020,GDP in constant 2010 prices (millions of US dollars),386359.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,1995,GDP real rates of growth (percent),2.70,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2005,GDP real rates of growth (percent),2.20,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2010,GDP real rates of growth (percent),1.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2015,GDP real rates of growth (percent),1.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2018,GDP real rates of growth (percent),2.50,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2019,GDP real rates of growth (percent),1.50,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
40,Austria,2020,GDP real rates of growth (percent),-6.70,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
31,Azerbaijan,1995,GDP in current prices (millions of US dollars),3081.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
31,Azerbaijan,2005,GDP in current prices (millions of US dollars),13245.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
