Code,Region,Year,Gross Value added by kind of economic activity,Value,Footnotes,Source
262,Djibouti,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.40,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.40,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.40,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,1995,Industry (% of gross value added),15.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,2005,Industry (% of gross value added),16.20,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,2010,Industry (% of gross value added),16.10,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,2015,Industry (% of gross value added),12.10,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,2018,Industry (% of gross value added),11.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,2019,Industry (% of gross value added),11.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,2020,Industry (% of gross value added),12.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,1995,Services (% of gross value added),81.50,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,2005,Services (% of gross value added),80.20,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,2010,Services (% of gross value added),81.10,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,2015,Services (% of gross value added),86.60,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,2018,Services (% of gross value added),86.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,2019,Services (% of gross value added),86.90,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
262,Djibouti,2020,Services (% of gross value added),86.60,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",13.70,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",13.50,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",13.70,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",16.50,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",13.70,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",14.50,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",17.80,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,1995,Industry (% of gross value added),16.30,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2005,Industry (% of gross value added),15.20,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2010,Industry (% of gross value added),14.00,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2015,Industry (% of gross value added),14.70,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2018,Industry (% of gross value added),20.00,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2019,Industry (% of gross value added),18.30,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2020,Industry (% of gross value added),14.30,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,1995,Services (% of gross value added),70.00,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2005,Services (% of gross value added),71.30,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2010,Services (% of gross value added),72.20,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2015,Services (% of gross value added),68.80,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2018,Services (% of gross value added),66.30,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2019,Services (% of gross value added),67.20,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
212,Dominica,2020,Services (% of gross value added),67.90,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",10.70,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",7.70,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",6.50,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.90,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.60,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.60,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",6.50,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,1995,Industry (% of gross value added),35.10,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2005,Industry (% of gross value added),32.50,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2010,Industry (% of gross value added),29.90,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2015,Industry (% of gross value added),30.60,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2018,Industry (% of gross value added),31.10,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2019,Industry (% of gross value added),31.40,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2020,Industry (% of gross value added),32.40,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,1995,Services (% of gross value added),54.30,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2005,Services (% of gross value added),59.80,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2010,Services (% of gross value added),63.60,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2015,Services (% of gross value added),63.50,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2018,Services (% of gross value added),63.30,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2019,Services (% of gross value added),63.00,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
214,Dominican Republic,2020,Services (% of gross value added),61.20,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",22.60,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",10.00,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",10.20,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",10.20,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",9.60,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",9.40,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",10.40,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,1995,Industry (% of gross value added),28.00,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2005,Industry (% of gross value added),33.40,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2010,Industry (% of gross value added),36.30,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2015,Industry (% of gross value added),34.40,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2018,Industry (% of gross value added),35.00,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2019,Industry (% of gross value added),35.00,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2020,Industry (% of gross value added),33.90,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,1995,Services (% of gross value added),49.40,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2005,Services (% of gross value added),56.60,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2010,Services (% of gross value added),53.50,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2015,Services (% of gross value added),55.40,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2018,Services (% of gross value added),55.40,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2019,Services (% of gross value added),55.50,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
218,Ecuador,2020,Services (% of gross value added),55.70,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",16.80,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",14.40,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",14.00,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",11.30,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",11.50,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",11.40,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",12.10,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,1995,Industry (% of gross value added),32.70,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2005,Industry (% of gross value added),36.90,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2010,Industry (% of gross value added),37.50,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2015,Industry (% of gross value added),36.20,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2018,Industry (% of gross value added),35.80,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2019,Industry (% of gross value added),36.70,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2020,Industry (% of gross value added),33.50,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,1995,Services (% of gross value added),50.90,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2005,Services (% of gross value added),48.80,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2010,Services (% of gross value added),48.50,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2015,Services (% of gross value added),52.50,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2018,Services (% of gross value added),52.70,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2019,Services (% of gross value added),51.90,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
818,Egypt,2020,Services (% of gross value added),54.40,Data classified according to ISIC Rev. 4.;At factor cost.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",12.60,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",6.80,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",7.60,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",6.10,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.70,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.40,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.70,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,1995,Industry (% of gross value added),27.90,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2005,Industry (% of gross value added),26.80,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2010,Industry (% of gross value added),27.50,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2015,Industry (% of gross value added),27.80,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2018,Industry (% of gross value added),27.80,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2019,Industry (% of gross value added),27.90,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2020,Industry (% of gross value added),26.30,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,1995,Services (% of gross value added),59.50,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2005,Services (% of gross value added),66.40,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2010,Services (% of gross value added),64.80,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2015,Services (% of gross value added),66.10,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2018,Services (% of gross value added),66.60,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2019,Services (% of gross value added),66.70,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
222,El Salvador,2020,Services (% of gross value added),68.00,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
